"Latitude","Longitude","AQI","Date.Local","Local.Site.Name","Address","State.Name","County.Name","City.Name","Conc"
39.76168,-121.84047,60,"2016-01-01","Chico-East Avenue","984 East Avenue, Chico","California","Butte","Chico",2.12295
39.18919,-121.99887,17,"2016-01-01","Colusa-Sunrise Blvd","100 SUNRISE BLVD., COLUSA","California","Colusa","Colusa",1.6745
36.78538,-119.77321,132,"2016-01-01","Fresno - Garland","3727 N FIRST ST, FRESNO","California","Fresno","Fresno",18.928
36.78538,-119.77321,131,"2016-01-01","Fresno - Garland","3727 N FIRST ST, FRESNO","California","Fresno","Fresno",18.928
36.819449,-119.716433,91,"2016-01-01","Clovis-Villa","908 N VILLA AVE, CLOVIS","California","Fresno","Clovis",7.4078
36.72639,-119.733,133,"2016-01-01","Fresno-Pacific","1716 WINERY, FRESNO CA 93726","California","Fresno","Fresno",18.4711
40.77678,-124.17949,60,"2016-01-01","Jacobs","717 SOUTH AVENUE","California","Humboldt","Eureka",2.96821
40.71528,-124.20139,6,"2016-01-01","Humboldt Hill","170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA","California","Humboldt","Not in a city",2.45
32.67618,-115.48307,43,"2016-01-01","Calexico-Ethel Street","1029 ETHEL ST, CALEXICO HIGH SCHOOL","California","Imperial","Calexico",6.83315
32.67618,-115.48307,44,"2016-01-01","Calexico-Ethel Street","1029 ETHEL ST, CALEXICO HIGH SCHOOL","California","Imperial","Calexico",6.83315
32.97833,-115.53917,54,"2016-01-01","Brawley-220 Main Street","220 MAIN ST., STE 204, BRAWLEY","California","Imperial","Brawley",5.115
32.79222,-115.56306,48,"2016-01-01","El Centro-9th Street","150 9TH ST., EL CENTRO","California","Imperial","El Centro",11.4549
36.487823,-117.871036,8,"2016-01-01","Keeler","KEELER, 190 Cerro Gordo Road","California","Inyo","Keeler",1.24307
35.385574,-119.015009,140,"2016-01-01","Bakersfield-Golden/M St","2820 M St., Bakersfield, CA 93301","California","Kern","Bakersfield",13.1424
35.356615,-119.062613,148,"2016-01-01","Bakersfield-California","5558 California Ave., Bakersfield CA 93309","California","Kern","Bakersfield",13.1424
35.62109,-117.67296,45,"2016-01-01","Ridgecrest-California Ave","100 WEST CALIFORNIA AVE, RIDGECREST, CA","California","Kern","Ridgecrest",3.37984
35.324636,-118.997627,138,"2016-01-01","Bakersfield-Airport (Planz)","410 E. PLANZ RD. BAKERSFIELD, CA  93307","California","Kern","Bakersfield",8.34903
39.0327,-122.92229,6,"2016-01-01","Lakeport-Lakeport Blvd.","905 LAKEPORT BLVD., LAKEPORT","California","Lake","Lakeport",1.50086
34.1365,-117.92391,25,"2016-01-01","Azusa","803 N. LOREN AVE., AZUSA","California","Los Angeles","Azusa",3.31734
34.06659,-118.22688,49,"2016-01-01","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","California","Los Angeles","Los Angeles",9.5515
34.06659,-118.22688,47,"2016-01-01","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","California","Los Angeles","Los Angeles",9.5515
34.19925,-118.53276,30,"2016-01-01","Reseda","18330 GAULT ST., RESEDA","California","Los Angeles","Reseda",6.58268
33.901389,-118.205,84,"2016-01-01","Compton","700 North Bullis Road","California","Los Angeles","Compton",13.4018
34.01029,-118.0685,63,"2016-01-01","Pico Rivera #2","4144 SAN GABRIEL RIVER PKWY, PICO RIVERA","California","Los Angeles","Pico Rivera",11.4369
34.1326,-118.1272,63,"2016-01-01","Pasadena","752 S. WILSON AVE., PASADENA","California","Los Angeles","Pasadena",7.64712
33.82376,-118.18921,72,"2016-01-01","Long Beach (North)","3648 N. LONG BEACH BLVD., LONG BEACH","California","Los Angeles","Long Beach",11.5003
33.79236,-118.17533,85,"2016-01-01","Long Beach (South)","1305 E. Pacific Coast Hwy., Long Beach","California","Los Angeles","Long Beach",11.5003
33.859662,-118.200707,81,"2016-01-01","Long Beach-Route 710 Near Road","5895 Long Beach Blvd.","California","Los Angeles","Long Beach",13.4018
36.953256,-120.034203,95,"2016-01-01","Madera-City","28261 Avenue 14 Madera CA 93638","California","Madera","Madera",9.31699
37.30832,-120.480456,86,"2016-01-01","Merced-M Street","2334 'M' ST. MERCED, CA","California","Merced","Merced",18.4071
36.694261,-121.623271,70,"2016-01-01","Salinas 3","867 E. LAUREL Dr","California","Monterey","Salinas",9.38241
39.233477,-121.055608,19,"2016-01-01","Grass Valley-Litton Building","200 LITTON DR.,  GRASS VALLEY, CA","California","Nevada","Grass Valley",1.70965
39.32783,-120.184592,40,"2016-01-01","Truckee-Fire Station","FS-10049 DONNER PASS RD, TRUCKEE","California","Nevada","Truckee",1.75644
33.83062,-117.93845,28,"2016-01-01","Anaheim","1630 W. PAMPAS LANE","California","Orange","Anaheim",10.6522
33.63003,-117.67593,28,"2016-01-01","Mission Viejo","26081 VIA PERA, MISSION VIEJO, CA 92691","California","Orange","Mission Viejo",7.15448
38.74643,-121.26498,68,"2016-01-01","Roseville-N Sunrise Ave"," 151 NO SUNRISE BLVD, ROSEVILLE, CA","California","Placer","Roseville",13.8907
38.74643,-121.26498,68,"2016-01-01","Roseville-N Sunrise Ave"," 151 NO SUNRISE BLVD, ROSEVILLE, CA","California","Placer","Roseville",13.8907
39.939567,-120.944376,51,"2016-01-01","Quincy-N Church Street","267 N. CHURCH ST., QUINCY, CA. 95971","California","Plumas","Quincy",1.39532
39.81336,-120.47069,39,"2016-01-01","Portola","420 Gulling Street, Portola, CA 96122","California","Plumas","Portola",1.64614
39.81336,-120.47069,38,"2016-01-01","Portola","420 Gulling Street, Portola, CA 96122","California","Plumas","Portola",1.64614
33.944713,-116.830074,3,"2016-01-01","Morongo Air Monitoring Station","12160 Santiago Rd. Banning, CA 92220","California","Riverside","Banning",1.816
33.70853,-116.21537,40,"2016-01-01","Indio","46-990 JACKSON ST., INDIO","California","Riverside","Indio",3.41878
33.85275,-116.54101,11,"2016-01-01","Palm Springs","FS-590 RACQUET CLUB AVE, PALM SPRINGS","California","Riverside","Palm Springs",2.34038
33.99958,-117.41601,30,"2016-01-01","Rubidoux","5888 MISSION BLVD., RUBIDOUX","California","Riverside","Rubidoux",6.75085
33.99958,-117.41601,16,"2016-01-01","Rubidoux","5888 MISSION BLVD., RUBIDOUX","California","Riverside","Rubidoux",6.75085
33.99636,-117.4924,35,"2016-01-01","Mira Loma (Van Buren)","5130 POINSETTIA PLACE","California","Riverside","Mira Loma",6.75085
33.99636,-117.4924,32,"2016-01-01","Mira Loma (Van Buren)","5130 POINSETTIA PLACE","California","Riverside","Mira Loma",6.75085
