"Latitude","Longitude","AQI","Date.Local","Local.Site.Name","Address","State.Name","County.Name","City.Name","Conc","Zone","x.coord","y.coord","Sqrt_Conc","Sqrt_AQI"
39.76168,-121.84047,60,"2016-01-01","Chico-East Avenue","984 East Avenue, Chico","California","Butte","Chico",2.12295,10,599321.609747591,4401949.42741385,1.45703465984856,7.74596669241483
39.18919,-121.99887,17,"2016-01-01","Colusa-Sunrise Blvd","100 SUNRISE BLVD., COLUSA","California","Colusa","Colusa",1.6745,10,586459.165362198,4338248.86294064,1.29402472928457,4.12310562561766
40.77678,-124.17949,60,"2016-01-01","Jacobs","717 SOUTH AVENUE","California","Humboldt","Eureka",2.96821,10,400468.131605025,4514647.15912931,1.72284938401475,7.74596669241483
40.71528,-124.20139,6,"2016-01-01","Humboldt Hill","170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA","California","Humboldt","Not in a city",2.45,10,398526.599984105,4507845.23384825,1.56524758424985,2.44948974278318
39.0327,-122.92229,6,"2016-01-01","Lakeport-Lakeport Blvd.","905 LAKEPORT BLVD., LAKEPORT","California","Lake","Lakeport",1.50086,10,506725.947181897,4320408.22002866,1.2250959146124,2.44948974278318
36.953256,-120.034203,95,"2016-01-01","Madera-City","28261 Avenue 14 Madera CA 93638","California","Madera","Madera",9.31699,10,764079.379357311,4093797.84187987,3.052374485544,9.74679434480896
37.30832,-120.480456,86,"2016-01-01","Merced-M Street","2334 'M' ST. MERCED, CA","California","Merced","Merced",18.4071,10,723289.972118263,4132052.9734521,4.29034963610193,9.2736184954957
36.694261,-121.623271,70,"2016-01-01","Salinas 3","867 E. LAUREL Dr","California","Monterey","Salinas",9.38241,10,622988.053492533,4061839.65786739,3.06307198740088,8.36660026534076
39.233477,-121.055608,19,"2016-01-01","Grass Valley-Litton Building","200 LITTON DR.,  GRASS VALLEY, CA","California","Nevada","Grass Valley",1.70965,10,667820.090884225,4344487.72012818,1.30753585036893,4.35889894354067
39.32783,-120.184592,40,"2016-01-01","Truckee-Fire Station","FS-10049 DONNER PASS RD, TRUCKEE","California","Nevada","Truckee",1.75644,10,742681.540213183,4356937.68902572,1.32530751148554,6.32455532033676
38.74643,-121.26498,68,"2016-01-01","Roseville-N Sunrise Ave"," 151 NO SUNRISE BLVD, ROSEVILLE, CA","California","Placer","Roseville",13.8907,10,650778.2329904,4290067.32619088,3.72702294063238,8.24621125123532
38.74643,-121.26498,68,"2016-01-01","Roseville-N Sunrise Ave"," 151 NO SUNRISE BLVD, ROSEVILLE, CA","California","Placer","Roseville",13.8907,10,650778.2329904,4290067.32619088,3.72702294063238,8.24621125123532
39.939567,-120.944376,51,"2016-01-01","Quincy-N Church Street","267 N. CHURCH ST., QUINCY, CA. 95971","California","Plumas","Quincy",1.39532,10,675628.73579863,4423072.84655483,1.18123664013609,7.14142842854285
39.81336,-120.47069,39,"2016-01-01","Portola","420 Gulling Street, Portola, CA 96122","California","Plumas","Portola",1.64614,10,716500.607730402,4410103.17027321,1.28301987513834,6.2449979983984
39.81336,-120.47069,38,"2016-01-01","Portola","420 Gulling Street, Portola, CA 96122","California","Plumas","Portola",1.64614,10,716500.607730402,4410103.17027321,1.28301987513834,6.16441400296898
38.613779,-121.368014,81,"2016-01-01","Sacramento-Del Paso Manor","DEL PASO-2701 AVALON DR, SACRAMENTO","California","Sacramento","Arden-Arcade",11.9936,10,642085.859705504,4275181.66998176,3.46317773150614,9
38.613779,-121.368014,82,"2016-01-01","Sacramento-Del Paso Manor","DEL PASO-2701 AVALON DR, SACRAMENTO","California","Sacramento","Arden-Arcade",11.9936,10,642085.859705504,4275181.66998176,3.46317773150614,9.05538513813742
38.56844,-121.49311,30,"2016-01-01","Sacramento-1309 T Street","1309 T ST., SACRAMENTO, CA. 95814","California","Sacramento","Sacramento",8.77542,10,631276.580587711,4269964.07916902,2.96233353962716,5.47722557505166
38.556326,-121.458499,57,"2016-01-01","Sacramento Health Department-Stockton Blvd.","HLTH CTR-2221 STOCKTON BLVD, SACRAMENTO","California","Sacramento","Sacramento",8.77542,10,634314.519536776,4268669.78944965,2.96233353962716,7.54983443527075
37.348497,-121.894898,73,"2016-01-01","San Jose - Jackson","158B JACKSON ST","California","Santa Clara","San Jose",17.2843,10,597878.676765947,4134106.09860296,4.15743911560951,8.54400374531753
40.55013,-122.38092,8,"2016-01-01","Redding - Health Department","HLTH CTR-2630 BRESLAUER WAY, REDDING","California","Shasta","Redding",3.81538,10,552418.128644166,4489003.28639604,1.9532997721804,2.82842712474619
41.726892,-122.633579,13,"2016-01-01","Yreka","530 FOOTHILL DR., YREKA","California","Siskiyou","Yreka",1.79461,10,530475.552102494,4619518.94104077,1.33963054608351,3.60555127546399
37.642165,-120.994212,51,"2016-01-01","Modesto-14th Street","814 14TH ST., MODESTO","California","Stanislaus","Modesto",13.5407,10,676964.350007678,4168005.89209749,3.6797690144899,7.14142842854285
